text;favorited;created
#etvfoorum kui te tahate regionaliseerida viige ülesanded kohalikule tasemele. Keskriigi institutsioonide liigutamine EI OLE regionaliseerim;FALSE;21.02.2017 18:40
#etvfoorum Reinsalu põristab lonti aga ei midagi;FALSE;21.02.2017 18:40
Reinsalul läheb kogu aeg meelest ära, et IRL oli ka eelmises valitsuses. #etvfoorum;FALSE;21.02.2017 18:40
#etvfoorum Laevaehitustehast ei ehita me ju Paidesse. Kui kuskil on spetsiifilist kompetentsi, siis võib sinna töökohti luua. Aga ei ole ju.;FALSE;21.02.2017 18:40
Vanasti oli tõulava pealinnas kas lehmadele või lehmakasvatajatele?Aga tänane riigiasutuse vastutus alluvussuhte olemasolu kohta? #etvfoorum;FALSE;21.02.2017 18:40
Kolige valitsus Abja-Paluojja ja katkestage neil kõik ühendusvõimalused muu maailmaga. #etvfoorum;FALSE;21.02.2017 18:40
Kardan, et see kolimisemõte näeb hea välja ainult paberil ja peas. #etvfoorum;FALSE;21.02.2017 18:39
Kas keegi sai aru, mida vastas Reinsalu küsimusele, et kas viia parlament Tallinnast välja? #etvfoorum;FALSE;21.02.2017 18:39
Eriti hea oleks viia Tallinna Lennujaam Paidesse. #etvfoorum;FALSE;21.02.2017 18:39
Kas Reinsalu on sellest ikka aru saanud et tema erakonda ja ühtlasi nende ideid ei toeta 94% Eesti elanikest? #etvfoorum;FALSE;21.02.2017 18:39
"mis on saate teema? just-kui vintis külamees reepeal; kõrtsist koju, tiira-taara, nii sündis eesti teevõrgustik. #etvfoorum";FALSE;21.02.2017 18:38
#etvfoorum Eesti on VÄIKE! 3h igale poole sõitu pealinnast ja põhimaanteed OK. Elagu või kõik Tln, kui on mot sõita, siis inimene liigub.;FALSE;21.02.2017 18:38
Esmalt tuleks lubada elamisloa omanikul osta kinnisasja idapiiri KOV-is. Narva ja Sillamäe ei saa elamisloaga aiamaa kinnistut!  #etvfoorum;FALSE;21.02.2017 18:38
Ei tea,kas Anvelti plaanitav hotellide külastajate register ja sellega kaasnev on plaanitud ka Narva?! #etvfoorum;FALSE;21.02.2017 18:37
#etvfoorum kas te taipate et asutuste eraldamine suurendab kulusid ja kaugendab vajalikku kõigi jaoks? tuleb regionaliseerida mitte kolida!;FALSE;21.02.2017 18:37
Keskerakond on vist endiselt opositsioonis.  #etvfoorum;FALSE;21.02.2017 18:36
Õppurid tulevad Kuresaarest ja Pärnust? #etvfoorum;FALSE;21.02.2017 18:36
EKRE oli varem maainimeste poolt ja nüüd järsku pealinnakeskne...? Toompeal on mugavaks muutunud? #etvfoorum;FALSE;21.02.2017 18:36
#etvfoorum saatejuhil õigus , iga linn saab ühe riigiasutuse !;FALSE;21.02.2017 18:36
Anvelt tahab miilitsaid tagasi, Reinsalu tahab sponsoritele raha ja kesik tahab varastada. Tõde Sisekaitseakadeemia  kolimisest. #etvfoorum;FALSE;21.02.2017 18:35
"#etvfoorum / palun, et saatekülalistest ministrid ei ""usuks"" ega ""arvaks"" mis on õige ja vale otsus, toetuge teadmisele!";FALSE;21.02.2017 18:35
Anvelt julgeolekuspetsina mäletab kindlasti, et esimese vabariigi aegu oli Narva linn punastele geograafiliselt tähtis tugipunkt. #etvfoorum;FALSE;21.02.2017 18:35
Regionaalpoliitikas asutuste hajutamise kõrval ka enam kaugtööd riigisektoris, palju töökohti ei eelda iga päev kontoris olemist #etvfoorum;FALSE;21.02.2017 18:34
Ei ole siiani kuulnud ühtegi head põhjust, miks SKA kolimine Narva õigustaks ennast. #etvfoorum;FALSE;21.02.2017 18:34
Alustaks sellega, et toetame tegelikult ka kaugtööd. Tänapäeva tehniloste lahenduste puhul pole mingit vahet, kus inimesed asuvad #etvfoorum;FALSE;21.02.2017 18:33
#etvfoorum kõik ei ole kinni majanduses. On vaja ka kultuurilist integratsiooni mis loob meeldivad tingimused arenduseks.;FALSE;21.02.2017 18:33
Tuleb tunnistada,et IRLi omadel jagub viletsatest reitingutest ja nullkarismast hoolimata alati arrogantsi ja viitsimist praalida #etvfoorum;FALSE;21.02.2017 18:33
#etvfoorum Ida-Virus elab 60 000 inimest. 3000 eestlast. Piirkonna eestistamiseks on vaja vähemalt 30 000 eestikeelset inimest. Päriselt!?;FALSE;21.02.2017 18:33
Kuidas peaks SKA Narvas uusi töökohti looma? Professorid vaevald, teenindav personal pigem. A la 100 inimest. Ja 35 milj.!? #etvfoorum;FALSE;21.02.2017 18:33
"Äkki tujurikkuja jagab seda riigibussi, on hulga odavam 
#etvfoorum";FALSE;21.02.2017 18:33
Reinsalu ettekujutus SKA-st on kui nuiaga vehkimist õpetav vanglakool...tule taevas appi #absurd #etvfoorum;FALSE;21.02.2017 18:32
Regionaalarengu ja sellega seotult riigireformi vedajateks võiks nüüd saada haldusreformijärgsed uued ja tugevamad KOV'id #etvfoorum;FALSE;21.02.2017 18:32
Ma tahaks näha poksimist ja verd #etvfoorum;FALSE;21.02.2017 18:32
Regionaalpoliitika on see, kui riigikogu koondada ja võim üle anda kohalikele omavalitsustele #etvfoorum;FALSE;21.02.2017 18:32
Kurjade onude saade. #etvfoorum;FALSE;21.02.2017 18:32
Riigiasutused võivad olla piirkondades küll, kui on töötajad. Kas Narvas on SKAle õppejõude? Kui on, siis tudengid ehk tulevad. #etvfoorum;FALSE;21.02.2017 18:31
#etvfoorum Avalikeks teenusteks raha ei ole.Kolimiseks on. Iga avalikus sektoris raisatud inimene regioonis võtab ettevõtjatelt talendi ära.;FALSE;21.02.2017 18:31
Pealinna mõte on selles, et põhilised institutsioonid asuvad pealinnas, mitte üle riigi laiali. #etvfoorum;FALSE;21.02.2017 18:31
"Reinsalu: ""Töökohti loovad ettevõtjad!"" - valitsus: ""Viime riigiasutused regioonidesse töökohti looma!"" #etvfoorum";FALSE;21.02.2017 18:31
#etvfoorum IRL on läinud parempoolsest vasakpoolsemaks, vabaerakond viib tähelepanu sinna kuhu vaja.;FALSE;21.02.2017 18:31
Kas keegi saab aru, mis Vabaerakonna positsioon on? #etvfoorum;FALSE;21.02.2017 18:31
#etvfoorum Võibolla peaks hoopis riigiaparaati koomale tõmbama? Muutume päriselt e-riigiks ja kolime pilve :);FALSE;21.02.2017 18:30
#etvfoorum aga reinsalu, ei räägi ju regionaalpoliitikast. Sa räägid kolimist. Miks ta räägib regionaalpoliitikast, kuid ei tegele sellega?;FALSE;21.02.2017 18:30
Eesti riigi missioon on Eesti rahvas, visiooniks järjepidevus, järelikult küsimus on strateegias. Lihtne. #etvfoorum;FALSE;21.02.2017 18:30
#etvfoorum jätame SKA Tallinna aga Riigikogu Narva ja rahu !;FALSE;21.02.2017 18:29
Koalitsioonipoliitikute kirglikest sõnavõttudest saab järeldada, et see viie aasta perspektiiviga plaan viiakse ellu. #etvfoorum;FALSE;21.02.2017 18:29
Viige riigikogu lõuna Eesti :D #etvfoorum;FALSE;21.02.2017 18:29
Sisekaitseakadeemia on sattunud katsejäneseks - prooviks järgi, kas see vangerdus muudab Narvas midagi! Tulemust ei tea keegi.. #etvfoorum;FALSE;21.02.2017 18:29
#etvfoorum Lõpuks läks jutt ka sinna. Kolimine ei ole regionalpoliitika.;FALSE;21.02.2017 18:29
Appi, Martin Helme ütles esimest korda lause, millega olen nõus. #bakasuuhamitteregionaalpoliitika #etvfoorum;FALSE;21.02.2017 18:29
#etvfoorum Ida-Virumaa vajab reaalseid investeeringid ettevõtluseks, keeleõppeks, avalike teenuste jm tagamiseks, mitte loosungiteks.;FALSE;21.02.2017 18:27
Praegune valitsus selle riigi veel kihva keerab #etvfoorum;FALSE;21.02.2017 18:27
#etvfoorum IRL kujutab ette ! Tublid;FALSE;21.02.2017 18:26
RT @anvarsamost: Reformierakonna osas pole see pealinnakesksus üllatav. Aga kuidas on samade seisukohtadeni jõudnud EKRE? #etvfoorum;FALSE;21.02.2017 18:26
Mõned nooremad koalitsioonipoliitikud võivad kolimisplaani läbikukkumisel 10 a pärast veel valimistel osalemise vanuses olla. #etvfoorum;FALSE;21.02.2017 18:26
#etvfoorum Pevkuril õigus, on vaja infrastruktuuri.;FALSE;21.02.2017 18:26
Kes siin otsustajatest oleks nõus ise Narvas tööl käima? #etvfoorum;FALSE;21.02.2017 18:26
Reformierakonna osas pole see pealinnakesksus üllatav. Aga kuidas on samade seisukohtadeni jõudnud EKRE? #etvfoorum;FALSE;21.02.2017 18:25
Inimesed tahavad kodanikupalka, mitte kalleid kolimisi. #etvfoorum;FALSE;21.02.2017 18:25
#etvfoorum regionaalpoliitika ei tähenda kolimist vaid laiendamist. Ärge kasutage valesi sõnu, Martinil on õigus.;FALSE;21.02.2017 18:25
#etvfoorum Regionaalpoliitika ei tähenda lollust ja raiskamist ja soovmõtlemist: avalikku haldust tuleb kokku tõmmata, mitte kolida.;FALSE;21.02.2017 18:24
kuidas suhestub ühe õppeasutuse viimine ühest linnast teise riigi visiooniga. eldan, et eestil on ikka visioon #etvfoorum;FALSE;21.02.2017 18:24
töövõime-/haldusreform, rail baltic, riik maale, sisekaitse, rongid, praamid... tundub hea, kuid meenutab vanasõna vanast kaevust #etvfoorum;FALSE;21.02.2017 18:24
Mis on kogu asja mõte? Tekitada kunstlikult suuremaid kulutusi sisekaitse akadeemia ülalpidamiseks? #etvfoorum;FALSE;21.02.2017 18:24
#etvfoorum sm Tamm võiks hoopis rääkida suitsutatud liha müügi keelust alates september 2017 ! Mitte SKA kolimisest;FALSE;21.02.2017 18:24
Kolige Tartu ülikool hoopis Narva. Kolmveerand teest on juba neljarealine. Ei pea sellega jändama enam. #etvfoorum;FALSE;21.02.2017 18:23
#etvfoorum Narvas on ka vaja kultuurilist ühendamist ülejäänud eestiga, mitte vaid problemaatilist riigi kohaleviimist. tekitab probleeme;FALSE;21.02.2017 18:23
Sisekaitseakadeemia viimine Narva näib järjekordse rapsimisena stiilis ''maksumuudatuste kobarseadus''. #etvfoorum;FALSE;21.02.2017 18:22
Mis selle Narva kolimise mõte on peale bensiinikulu ja 15 miljoni? Te ei liiguta inimesi mehaaniliselt üle riigi laiali. #etvfoorum;FALSE;21.02.2017 18:22
Asutuste Tallinnast kolimine võiks olla osa suuremast, läbimõeldud regionaalarengu reformist – muud toetused, investeeringud jne #etvfoorum;FALSE;21.02.2017 18:22
@Urmaspaet Mugavustsoonist on vaja välja inimesi! #etvfoorum;FALSE;21.02.2017 18:21
See kampaania tekitab pikaks ajaks avalikus halduses suure segaduse, mis nõrgestab meie riiki. #etvfoorum;FALSE;21.02.2017 18:21
Siiski, avalik sektor ei peaks vist ikka betooniga regionaalpoliitikat tegema #etvfoorum;FALSE;21.02.2017 18:21
Tarmo Tamme õnn sai saates otsa: varsti antakse sõna ja tuleb Korbi memorandumit selgitama hakata. #etvfoorum;FALSE;21.02.2017 18:20
#etvfoorum Mida annaks ujula narvale? Narvas on vaja töökohti ja infrastruktuuri mis rahvast kohale tooks.;FALSE;21.02.2017 18:19
kuidas aitab sisekaitseakadeemia viimine narva, linna, mis kubiseb sovjetlikest ausammastest ja need on pühad #etvfoorum;FALSE;21.02.2017 18:19
Inimesed pole asjad, mida lihtsalt ümber paigutada. Et otsige endale uus kodu. Või jääte tööst ilma. Hooliv riik nii ei käitu. #etvfoorum;FALSE;21.02.2017 18:19
Ääremaadele on vaja rohkem riiki viia, see on kahtlemata õige. Aga seda tehakse jälle liigse rapsimisega. #etvfoorum;FALSE;21.02.2017 18:18
